Benchmark                  (directed)  (vertices)   Mode  Cnt      Score     Error   Units
EdgeMethods.inEdges              true          50  thrpt   25     44.111 ±   0.223  ops/ms
EdgeMethods.inEdges              true          60  thrpt   25     30.365 ±   0.306  ops/ms
EdgeMethods.inEdges              true          70  thrpt   25     22.818 ±   0.242  ops/ms
EdgeMethods.inEdges              true          80  thrpt   25     17.778 ±   0.303  ops/ms
EdgeMethods.inEdges              true          90  thrpt   25     14.090 ±   0.146  ops/ms
EdgeMethods.inEdges              true         100  thrpt   25     11.151 ±   0.150  ops/ms
EdgeMethods.inEdges             false           2  thrpt   25   7899.985 ± 148.821  ops/ms
EdgeMethods.inEdges             false          10  thrpt   25   5649.864 ± 100.561  ops/ms
EdgeMethods.inEdges             false          20  thrpt   25   3973.281 ±  86.110  ops/ms
EdgeMethods.inEdges             false          30  thrpt   25   3098.086 ±  41.323  ops/ms
EdgeMethods.inEdges             false          40  thrpt   25   2544.197 ±  52.905  ops/ms
EdgeMethods.inEdges             false          50  thrpt   25   2192.226 ±  45.503  ops/ms
EdgeMethods.inEdges             false          60  thrpt   25   2001.000 ±  48.660  ops/ms
EdgeMethods.inEdges             false          70  thrpt   25   1723.150 ±  41.812  ops/ms
EdgeMethods.inEdges             false          80  thrpt   25   1509.252 ±  34.450  ops/ms
EdgeMethods.inEdges             false          90  thrpt   25   1303.100 ±  60.405  ops/ms
EdgeMethods.inEdges             false         100  thrpt   25   1257.935 ±  37.580  ops/ms
EdgeMethods.outEdges             true           2  thrpt   25   6336.028 ± 125.110  ops/ms
EdgeMethods.outEdges             true          10  thrpt   25    937.401 ±  36.078  ops/ms
EdgeMethods.outEdges             true          20  thrpt   25    284.179 ±   8.980  ops/ms
EdgeMethods.outEdges             true          30  thrpt   25    129.759 ±   3.551  ops/ms
EdgeMethods.outEdges             true          40  thrpt   25     68.385 ±   1.233  ops/ms
EdgeMethods.outEdges             true          50  thrpt   25     43.063 ±   1.038  ops/ms
EdgeMethods.outEdges             true          60  thrpt   25     30.279 ±   0.645  ops/ms
EdgeMethods.outEdges             true          70  thrpt   25     22.608 ±   0.407  ops/ms
EdgeMethods.outEdges             true          80  thrpt   25     17.212 ±   0.308  ops/ms
EdgeMethods.outEdges             true          90  thrpt   25     13.780 ±   0.375  ops/ms
EdgeMethods.outEdges             true         100  thrpt   25     11.056 ±   0.271  ops/ms
EdgeMethods.outEdges            false           2  thrpt   25   7808.207 ±  98.320  ops/ms
EdgeMethods.outEdges            false          10  thrpt   25   5459.236 ±  83.075  ops/ms
EdgeMethods.outEdges            false          20  thrpt   25   3913.269 ±  97.076  ops/ms
EdgeMethods.outEdges            false          30  thrpt   25   2999.421 ±  60.610  ops/ms
EdgeMethods.outEdges            false          40  thrpt   25   2523.389 ±  63.800  ops/ms
EdgeMethods.outEdges            false          50  thrpt   25   2121.337 ±  69.684  ops/ms
EdgeMethods.outEdges            false          60  thrpt   25   1909.002 ±  49.979  ops/ms
EdgeMethods.outEdges            false          70  thrpt   25   1702.998 ±  42.384  ops/ms
EdgeMethods.outEdges            false          80  thrpt   25   1454.137 ±  28.782  ops/ms
EdgeMethods.outEdges            false          90  thrpt   25   1367.214 ±  37.255  ops/ms
EdgeMethods.outEdges            false         100  thrpt   25   1207.602 ±  45.872  ops/ms
