Benchmark                  (directed)  (vertices)   Mode  Cnt      Score      Error   Units
EdgeMethods.inEdges              true          40  thrpt   25  51048.846 ± 1518.106  ops/ms
EdgeMethods.inEdges              true          50  thrpt   25  52055.558 ±  326.731  ops/ms
EdgeMethods.inEdges              true          60  thrpt   25  50590.559 ± 1052.910  ops/ms
EdgeMethods.inEdges              true          70  thrpt   25  51748.516 ±  560.049  ops/ms
EdgeMethods.inEdges              true          80  thrpt   25  51821.262 ±  404.258  ops/ms
EdgeMethods.inEdges              true          90  thrpt   25  51398.554 ±  785.375  ops/ms
EdgeMethods.inEdges              true         100  thrpt   25  52059.667 ±  190.988  ops/ms
EdgeMethods.inEdges             false           2  thrpt   25  51906.194 ±  298.477  ops/ms
EdgeMethods.inEdges             false          10  thrpt   25  51324.095 ±  916.745  ops/ms
EdgeMethods.inEdges             false          20  thrpt   25  51498.973 ±  806.720  ops/ms
EdgeMethods.inEdges             false          30  thrpt   25  52017.552 ±  163.614  ops/ms
EdgeMethods.inEdges             false          40  thrpt   25  50905.375 ± 1146.665  ops/ms
EdgeMethods.inEdges             false          50  thrpt   25  51301.611 ±  954.018  ops/ms
EdgeMethods.inEdges             false          60  thrpt   25  51797.508 ±  317.777  ops/ms
EdgeMethods.inEdges             false          70  thrpt   25  51883.310 ±  493.604  ops/ms
EdgeMethods.inEdges             false          80  thrpt   25  51348.934 ±  553.560  ops/ms
EdgeMethods.inEdges             false          90  thrpt   25  51090.548 ±  836.855  ops/ms
EdgeMethods.inEdges             false         100  thrpt   25  51733.006 ±  348.639  ops/ms
EdgeMethods.outEdges             true           2  thrpt   25  52023.550 ±  373.983  ops/ms
EdgeMethods.outEdges             true          10  thrpt   25  51764.442 ±  601.003  ops/ms
EdgeMethods.outEdges             true          20  thrpt   25  51019.143 ±  662.728  ops/ms
EdgeMethods.outEdges             true          30  thrpt   25  51654.372 ±  769.510  ops/ms
EdgeMethods.outEdges             true          40  thrpt   25  50645.799 ±  954.985  ops/ms
EdgeMethods.outEdges             true          50  thrpt   25  50231.307 ± 1418.440  ops/ms
EdgeMethods.outEdges             true          60  thrpt   25  50593.347 ± 1001.712  ops/ms
EdgeMethods.outEdges             true          70  thrpt   25  50806.166 ±  893.243  ops/ms
EdgeMethods.outEdges             true          80  thrpt   25  50498.382 ± 1025.472  ops/ms
EdgeMethods.outEdges             true          90  thrpt   25  50598.840 ± 1024.157  ops/ms
EdgeMethods.outEdges             true         100  thrpt   25  50177.828 ±  784.148  ops/ms
EdgeMethods.outEdges            false           2  thrpt   25  50829.289 ± 1458.418  ops/ms
EdgeMethods.outEdges            false          10  thrpt   25  51638.992 ±  906.415  ops/ms
EdgeMethods.outEdges            false          20  thrpt   25  50597.475 ± 1047.891  ops/ms
EdgeMethods.outEdges            false          30  thrpt   25  50938.899 ±  822.558  ops/ms
EdgeMethods.outEdges            false          40  thrpt   25  51116.795 ±  934.924  ops/ms
EdgeMethods.outEdges            false          50  thrpt   25  48916.718 ± 1549.247  ops/ms
EdgeMethods.outEdges            false          60  thrpt   25  50131.465 ± 1186.478  ops/ms
EdgeMethods.outEdges            false          70  thrpt   25  50877.814 ± 1163.107  ops/ms
EdgeMethods.outEdges            false          80  thrpt   25  50252.798 ±  900.030  ops/ms
EdgeMethods.outEdges            false          90  thrpt   25  50135.239 ± 1177.506  ops/ms
EdgeMethods.outEdges            false         100  thrpt   25  49339.642 ± 1502.205  ops/ms
